ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subfamily,Genus,GenusIcon,ISO_codes,Samples_100,Samples_200,Country_ID,Source,Parent_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A
bto,Batak (Toba),Papunesia,2.5,99.0,bata1289,bbc,Austronesian,,Northwest Sumatra-Barrier Islands,,bbc,False,False,ID,Adelaar-1995b Cumming-1984 Meerwaldt-1904 Nababan-1981 Percival-1981 van-der-Tuuk-1864 van-der-Tuuk-1971,genus-northwestsumatrabarrierislands,,,,,,,,,,,,,,,,,2.0,,,,,3.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,4.0,4.0,12.0,3.0,,,,,,,,,,,,,,,,,,4.0,,1.0,6.0,4.0,,6.0,8.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,4.0,,,,2.0,,,,7.0,,,,5.0,5.0,,,3.0,,,,,,2.0,,,,,2.0,,9.0,,,,,,2.0,,,,2.0,,,,,,,,,,,1.0,,,,,,3.0,,,,,,1.0,,4.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,,1.0,,,,,1.0,,2.0,1.0,4.0,4.0,4.0,,,
bua,Burarra,Australia,-12.25,134.583333333,bura1267,bvr,Mangrida,,Burarran,,bvr,False,False,AU,Fabricius-1998 Glasgow-1981 Glasgow-1984 Glasgow-1994 Glasgow-and-Garner-1980 Glasgow-and-Glasgow-1967,genus-burarran,,,,,,,,,,,,,,,,,2.0,3.0,2.0,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,14.0,,,,,,,11.0,,,,,,,2.0,8.0,1.0,5.0,3.0,1.0,2.0,,,,,,,,,5.0,2.0,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,3.0,,,2.0,,,,,,,,,,,,1.0,,5.0,,,
bub,Bubi,Africa,3.5,8.66666666667,bube1242,bvb,Niger-Congo,Benue-Congo,Bantu,,bvb,False,False,GQ,Abad-1928,genus-bantu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,4.0,,,
bud,Buduma,Africa,13.5,14.5,budu1265,bdm,Afro-Asiatic,Chadic,Biu-Mandara,,bdm,False,False,NG TD CM,Awagana-2001 Lukas-and-Nachtigal-1939,genus-biumandara,,6.0,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,4.0,6.0,,4.0,,,,4.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,6.0,,,,,,,,,,,,,,2.0,,,,,,9.0,,,,,,2.0,,,,,,,,,2.0,,,,,1.0,,1.0,3.0,,,,,,,,,,,,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,1.0,,1.0,,,,,2.0,2.0,2.0,2.0,4.0,4.0,4.0,,,
bug,Bugis,Papunesia,-4.0,120.0,bugi1244,bug,Austronesian,,South Sulawesi,,bug,False,False,ID,Abas-and-Grimes-1995 Matthes-1875 Samsuri-1965 Sirk-1975 Sirk-1979 Sirk-1983,genus-southsulawesi,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,11.0,,,,,,7.0,4.0,,,,,,,,,,,,,,,6.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,2.0,,2.0,,,1.0,,1.0,,,,,1.0,,2.0,1.0,,4.0,,,,
bui,Buli (in Indonesia),Papunesia,1.0,128.5,buli1255,bzq,Austronesian,Eastern Malayo-Polynesian,South Halmahera - West New Guinea,,bzq,False,False,ID,Bybee-et-al-1994 Maan-1951,genus-southhalmaherawestnewguinea,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buj,Bujeba,Africa,3.0,10.1666666667,kwas1243,nmg,Niger-Congo,Benue-Congo,Bantu,,nmg,False,False,GQ CM,Gonzalez-Echegaray-1960,genus-bantu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
buk,Bukusu,Africa,0.75,34.6666666667,buku1249,bxk,Niger-Congo,Benue-Congo,Bantu,,bxk,False,False,KE,Austen-1974,genus-bantu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bul,Bulgarian,Eurasia,42.5,25.0,bulg1262,bul,Indo-European,,Slavic,,bul,False,False,BG,Aronson-1968 Beaulieux-1950 Beaulieux-and-Mladenov-1933 Bidwell-1968 Dahl-1985 Dyer-1992 Feuillet-1995 Friedman-1986 Haspelmath-1997 Hubenova-et-al-1968 Klagstad-1958 Malherbe-and-Rosenberg-1996 Penchev-2007 Scatton-1984 Scatton-1993 Stojanov-1964 Ternes-and-Vladimirova-Buhtz-1999,genus-slavic,,2.0,,,,,3.0,,,,,,,,,,2.0,,,1.0,1.0,,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,,,,3.0,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,1.0,,,,3.0,,,,,,,1.0,2.0,,1.0,4.0,3.0,9.0,,7.0,5.0,1.0,,4.0,,,,2.0,,,3.0,1.0,,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,,,,3.0,3.0,1.0,1.0,1.0,1.0,2.0,,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,3.0,1.0,1.0,4.0,4.0,3.0,,,
bum,Buma,Papunesia,-11.6333333333,166.833333333,tean1237,tkw,Austronesian,Eastern Malayo-Polynesian,Oceanic,,tkw,False,False,SB,Tryon-2002,genus-oceanic,,2.0,,,,1.0,,,,,,,,,,,2.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,4.0,6.0,,4.0,,,,4.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,6.0,2.0,1.0,4.0,4.0,4.0,,,
bun,Buin,Papunesia,-6.75,155.75,tere1278,buo,South Bougainville,,South Bougainville,,buo,False,False,PG,Grisward-and-Kieta-1910,genus-southbougainville,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,
bur,Burushaski,Eurasia,36.5,74.5,buru1296,bsk,Burushaski,,Burushaski,,bsk,True,True,PK,Anderson-1997b Berger-1974 Berger-1998 Klimov-1970 Klimov-and-Edelman-1970 Lorimer-1935 Malherbe-and-Rosenberg-1996 Morgenstierne-1945 Morin-and-Tiffou-1988 Tiffou-and-Pesot-1989,genus-burushaski,6.0,2.0,5.0,2.0,3.0,1.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,,,2.0,1.0,1.0,7.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,,,3.0,3.0,1.0,1.0,2.0,3.0,2.0,,2.0,,,,,1.0,1.0,1.0,2.0,1.0,,1.0,,,,3.0,,,,2.0,4.0,4.0,20.0,,,,,,,,,,,5.0,,,,4.0,4.0,2.0,11.0,,,,,,,1.0,7.0,6.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,,3.0,2.0,2.0,4.0,2.0,2.0,2.0,6.0,4.0,,2.0,,3.0,,5.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,7.0,4.0,3.0,1.0,2.0,6.0,2.0,1.0,,1.0,1.0,1.0,3.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,4.0,2.0,,2.0,,1.0,1.0,3.0,5.0,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,1.0,6.0,2.0,5.0,1.0,1.0,1.0,4.0,4.0,2.0
bus,Busa,Africa,9.66666666667,4.0,busa1253,bqp,Mande,,Eastern Mande,,bqp,False,False,NG,Jones-1998b Wedekind-1972,genus-easternmande,,1.0,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,5.0,1.0,1.0,2.0,,2.0,,1.0,,1.0,,,,,,2.0,,,1.0,2.0,2.0,,,
but,Buriat,Eurasia,52.0,108.0,mong1330,bxm,Altaic,,Mongolic,,bxm,False,False,CN RU MN,Anonymous-1954 Bybee-et-al-1994 Cydenbambaev-and-Imechenov-1962 Darbeeva-1997 Kuzmenkov-et-al-2007 Poppe-1960 Sanzheev-et-al-1962 Skribnik-1988 Skribnik-2003,genus-mongolic,,,,,,1.0,2.0,,,,,,,,,2.0,1.0,,,,,,2.0,2.0,,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,5.0,8.0,2.0,,,,,,,,,2.0,,,1.0,,,,,,1.0,,,4.0,1.0,3.0,2.0,,,,,,,2.0,,,1.0,2.0,2.0,3.0,2.0,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,,2.0
buu,Buru,Papunesia,-3.5,126.5,buru1303,mhs,Austronesian,,Central Malayo-Polynesian,,mhs,False,False,ID,Grimes-1991 Grimes-1995 Hendriks-1897,genus-centralmalayopolynesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,1.0,,,,,,,,,4.0,1.0,5.0,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,,,,4.0,4.0,4.0,,,
buw,Bulu,Africa,3.0,11.0,bulu1251,bum,Niger-Congo,Benue-Congo,Bantu,,bum,False,False,CM,Alexandre-1966 Bates-1904,genus-bantu,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
buy,Buli (in Ghana),Africa,10.5,-1.25,buli1254,bwu,Niger-Congo,Gur,Oti-Volta,,bwu,False,False,GH,Kroger-1992,genus-otivolta,,,,,,,,,,,,,1.0,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,,,1.0,1.0,4.0,18.0,,,14.0,,1.0,,4.0,5.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
bvi,Bali-Vitu,Papunesia,-4.9,149.116666667,unea1237,,Austronesian,Eastern Malayo-Polynesian,Oceanic,,bbn wiv,False,False,PG,Ross-2002c,genus-oceanic,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,,,1.0,4.0,4.0,4.0,,,
bwa,Bandjalang (Waalubal),Australia,-29.0833333333,152.583333333,band1339,bdy,Pama-Nyungan,,Southeastern Pama-Nyungan,,bdy,False,False,AU,Crowley-1978,genus-southeasternpamanyungan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
