ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subfamily,Genus,GenusIcon,ISO_codes,Samples_100,Samples_200,Country_ID,Source,Parent_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A
aab,Arapesh (Abu),Papunesia,-3.45,142.95,abua1245,aah,Torricelli,,Kombio-Arapesh,,aah,False,False,PG,Nekitel-1985,genus-kombioarapesh,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,4.0,6.0,,4.0,,,,4.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,,2.0,2.0,,,,4.0,,,
aar,Aari,Africa,6.0,36.5833333333,aari1239,aiw,Afro-Asiatic,Omotic,South Omotic,,aiw,False,False,ET,Hayward-1990a,genus-southomotic,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,9.0,,,,3.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,6.0,,,1.0,2.0,2.0,,,
aba,Abau,Papunesia,-4.0,141.25,abau1245,aau,Sepik,,Abau,,aau,False,False,PG,Bailey-1975,genus-abau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,
abb,Arabic (Chadian),Africa,13.8333333333,20.8333333333,chad1249,shu,Afro-Asiatic,,Semitic,,shu,False,False,TD,Abu-Absi-1995,genus-semitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abd,Abidji,Africa,5.66666666667,-4.58333333333,abid1235,abi,Niger-Congo,Kwa,Agneby,,abi,False,False,CI,,genus-agneby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abe,Arabic (Beirut),Eurasia,33.9166666667,35.5,nort3139,apc,Afro-Asiatic,,Semitic,,apc,False,False,LB,Abdul-Karim-1979,genus-semitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abh,Arabic (Bahrain),Eurasia,26.0,50.5,baha1259,abv,Afro-Asiatic,,Semitic,,abv,False,False,BH,,genus-semitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abi,Abipón,South America,-29.0,-61.0,abip1241,axb,Guaicuruan,,Abipon,,axb,False,True,AR,Bybee-et-al-1994 Dobrizhoffer-1902 Najlis-1966,genus-abipon,2.0,,5.0,3.0,2.0,,,2.0,,,,,2.0,,,2.0,2.0,3.0,3.0,,,,,,1.0,,3.0,,,,,,,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,11.0,,,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,5.0,1.0,,,,,,2.0,,1.0,2.0,2.0,,,,2.0,,4.0,,,,3.0,,3.0,2.0,,,,6.0,,,,2.0,1.0,1.0,1.0,9.0,,,,,,3.0,,,,1.0,,,,,,2.0,4.0,2.0,4.0,2.0,4.0,,,,,,,,1.0,1.0,,,1.0,,2.0,,1.0,2.0,1.0,2.0,3.0,3.0,1.0,,2.0,1.0,,1.0,,,,,1.0,,1.0,1.0,4.0,4.0,5.0,1.0,1.0,3.0
abk,Abkhaz,Eurasia,43.0833333333,41.0,abkh1244,abk,Northwest Caucasian,,Northwest Caucasian,,abk,True,True,GE,Bybee-et-al-1994 Gecadze-1979 Hewitt-1979 Hewitt-1987 Hewitt-1989a Hewitt-1989d Hewitt-and-Khiba-1979 Lomtatidze-1967b Lomtatidze-1996 Spruyt-1986,genus-northwestcaucasian,3.0,2.0,5.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,,2.0,2.0,1.0,3.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,11.0,,,,2.0,2.0,4.0,20.0,,,,,,,,,,,15.0,6.0,,,4.0,4.0,2.0,2.0,,,,,,,1.0,7.0,6.0,,1.0,4.0,5.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,6.0,4.0,2.0,1.0,2.0,5.0,,5.0,3.0,2.0,1.0,,1.0,,3.0,2.0,4.0,2.0,4.0,2.0,9.0,2.0,5.0,7.0,1.0,,1.0,2.0,1.0,1.0,2.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,,,,,,1.0,6.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0
abm,Alabama,North America,32.3333333333,-87.4166666667,alab1237,akz,Muskogean,,Muskogean,,akz,False,False,US,Lupardus-1982 Rand-1968 Sylestine-et-al-1993 Sylestine-et-al-nd,genus-muskogean,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,2.0,,2.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,3.0
abn,Arabana,Australia,-28.25,136.25,arab1267,ard,Pama-Nyungan,,Central Pama-Nyungan,,ard,False,False,AU,Hercus-1994,genus-centralpamanyungan,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,14.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,2.0,,4.0,,,,,2.0,,,3.0,1.0,,6.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,5.0,,1.0,1.0,,1.0,1.0,,,3.0,2.0,,,,,,,,,,,,,,,,,2.0,,,
abo,Arbore,Africa,5.0,36.75,arbo1245,arv,Afro-Asiatic,Cushitic,Lowland East Cushitic,,arv,False,False,ET,Hayward-1984,genus-lowlandeastcushitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,2.0,2.0,,2.0,,1.0,,1.0,,,,,,,,,,2.0,2.0,,,
abu,Abun,Papunesia,-0.5,132.5,abun1252,kgr,Abun,,Abun,,kgr,False,False,ID,Berry-1995a Berry-1995b Berry-and-Berry-1999,genus-abun,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,6.0,,,1.0,1.0,,,,,,,,,2.0,3.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,14.0,1.0,,,1.0,1.0,4.0,18.0,,,14.0,,1.0,,4.0,5.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,1.0,,,2.0,1.0,,,,,,,,3.0,1.0,2.0,,2.0,,,,9.0,,,,3.0,2.0,,,,,,6.0,,,,1.0,,,,,5.0,,5.0,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,2.0,2.0,2.0,5.0,4.0,4.0,4.0,,,
abv,Abui,Papunesia,-8.25,124.666666667,abui1241,abz,Greater West Bomberai,Timor-Alor-Pantar,Alor-Pantar,,abz,False,False,ID,Kratochvil-2007,genus-alorpantar,,4.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,5.0,1.0,2.0,1.0,2.0,,1.0,,1.0,,,,,,,2.0,,,2.0,2.0,,,
abw,Abenaki (Western),North America,44.0,-72.25,west2630,abe,Algic,,Algonquian,,abe,False,False,CA US,Day-1994 Day-1995,genus-algonquian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abz,Abaza,Eurasia,44.0,42.0,abaz1241,abq,Northwest Caucasian,,Northwest Caucasian,,abq,False,False,RU,Anonymous-1956 Genko-1995 Lomtatidze-and-Klychev-1989 OHerin-2001,genus-northwestcaucasian,,,,,,,,,,,3.0,3.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
ace,Acehnese,Eurasia,5.5,95.5,achi1257,ace,Austronesian,,Malayo-Sumbawan,,ace,False,False,ID,Aboe-Bakar-et-al-1985 Cowan-1981 Durie-1985 Durie-1995 Durie-et-al-1994 van-Langen-1889,genus-malayosumbawan,4.0,,5.0,5.0,2.0,4.0,,2.0,,,,,,,,2.0,,,,1.0,1.0,3.0,1.0,1.0,,2.0,,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,5.0,1.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,9.0,1.0,,,5.0,5.0,,,,,3.0,1.0,,6.0,,1.0,,2.0,,,,9.0,,,,,,4.0,,,,,,,,2.0,1.0,,,,,5.0,,5.0,2.0,,,2.0,1.0,2.0,,,,,,,7.0,,3.0,3.0,6.0,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,3.0,5.0,3.0,1.0,5.0,5.0,5.0,,,
acg,Achagua,South America,4.41666666667,-72.25,acha1250,aca,Arawakan,,Japura-Colombia,,aca,False,False,CO,Aikhenvald-2007b Huber-and-Reed-1992 Melendez-1989 Wilson-and-Levinsohn-1992,genus-japuracolombia,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,6.0,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,2.0,8.0,1.0,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,,1.0,,3.0,4.0,4.0,,,
ach,Aché,South America,-25.25,-55.1666666667,ache1246,guq,Tupian,,Maweti-Guarani,,guq,False,False,PY,Susnik-1974,genus-mawetiguarani,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
aci,Achí,North America,15.1666666667,-90.5,achi1256,acr,Mayan,,Mayan,,acr,False,False,GT,Lopez-and-Iboy-1992,genus-mayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acl,Acholi,Africa,3.0,32.6666666667,acol1236,ach,Eastern Sudanic,Nilotic,Western Nilotic,,ach,False,False,UG SS,Crazzolara-1938 Crazzolara-1955 Stolz-1996,genus-westernnilotic,,2.0,,,,,,,,,,,,,,,,,,,,4.0,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,1.0,4.0,16.0,,,13.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,6.0,,,,3.0,,,,,,,,,,,,,,,,,9.0,1.0,,,,,2.0,,,,,,,,2.0,,,,,,1.0,,1.0,4.0,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,,2.0,,1.0,,1.0,,,,,,,2.0,1.0,4.0,4.0,4.0,,,
acm,Achumawi,North America,41.5,-121.0,achu1247,acv,Hokan,Palaihnihan,Achumawi,,acv,False,False,US,Olmsted-1964 Olmsted-1966 Olmsted-1977 de-Angulo-and-Freeland-1931,genus-achumawi,2.0,,5.0,2.0,5.0,,,2.0,,,,,,,,,3.0,2.0,1.0,,,,3.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,4.0,4.0,21.0,,,11.0,,,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,6.0,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,2.0,4.0,,,,,,,,2.0,2.0,,,1.0,,2.0,,1.0,2.0,6.0,2.0,,,,,2.0,,,,,,,,,,,,4.0,,,,,
acn,Achang,Eurasia,25.0,98.5,acha1249,acn,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,,acn,False,False,CN MM,Dai-and-Cui-1985,genus-burmeselolo,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,3.0,2.0,2.0,,2.0,1.0,,,,,,,2.0,2.0,,1.0,1.0,5.0,,,
aco,Acoma,North America,34.9166666667,-107.583333333,west2632,kjq,Keresan,,Keresan,,kjq,True,True,US,Maring-1967 Miller-1965 Miller-1966 Nichols-1992 Spencer-1946,genus-keresan,4.0,2.0,5.0,2.0,5.0,,,2.0,1.0,,3.0,4.0,2.0,,,,2.0,3.0,3.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,2.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,3.0,,,,8.0,,,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,5.0,1.0,,5.0,2.0,3.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,5.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,6.0,1.0,7.0,,1.0,3.0,6.0,1.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,,1.0,5.0,5.0,5.0,1.0,,3.0
acu,Achuar,South America,-2.66667,-76.0,achu1248,acu,Jivaroan,,Jivaroan,,acu,False,False,PE,Fast-and-Fast-1981 Wise-1978,genus-jivaroan,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,1.0,4.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,6.0,,,,,,,,
ada,Adamorobe Sign Language,Africa,5.83333333333,-0.166666666667,adam1238,ads,other,,Sign Languages,,ads,False,False,GH,Frishberg-1987,genus-signlanguages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adg,Adang,Papunesia,-8.2,124.0,adan1251,adn,Greater West Bomberai,Timor-Alor-Pantar,Alor-Pantar,,adn,False,False,ID,Haan-2001,genus-alorpantar,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,2.0,,1.0,1.0,4.0,19.0,4.0,,,,,,,,,,17.0,,,2.0,4.0,3.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,,,,2.0,,,,,,,,,,,,,,,,,9.0,,,,,,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,,,,,,,,3.0,,2.0,,1.0,,2.0,,,
adi,Adioukrou,Africa,5.41666666667,-4.58333333333,adio1239,adj,Niger-Congo,Kwa,Agneby,,adj,False,False,CI,Herault-1978,genus-agneby,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,6.0,,,,4.0,8.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,1.0,,,,1.0,4.0,,,,,,,,,,,,,,,,9.0,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,2.0,2.0,2.0,5.0,3.0,4.0,4.0,,,
adk,Andoke,South America,-0.666666666667,-72.0,ando1256,ano,Andoke,,Andoke,,ano,False,False,CO,Aikhenvald-and-Dixon-1999 Landaburu-1979,genus-andoke,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,4.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,3.0,2.0,,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,3.0
adn,Adynyamathanha,Australia,-30.5,139.5,adny1235,adt,Pama-Nyungan,,Central Pama-Nyungan,,adt,False,False,AU,Schebeck-1974,genus-centralpamanyungan,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,7.0,,1.0,3.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,5.0,5.0,5.0,,,
adt,Adyghe (Temirgoy),Eurasia,45.2166666667,39.7,adyg1241,ady,Northwest Caucasian,,Northwest Caucasian,,ady,False,False,RU,Kumaxov-1971 Rogava-and-Kerasheva-1966,genus-northwestcaucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ady,Adyghe (Abzakh),Eurasia,45.2333333333,40.5833333333,adyg1241,ady,Northwest Caucasian,,Northwest Caucasian,,ady,False,False,RU,Paris-1989,genus-northwestcaucasian,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,2.0,3.0,,,,,,,,,,,,,,1.0,,2.0,,,3.0
adz,Adzera,Papunesia,-6.25,146.25,adze1240,adz,Austronesian,Eastern Malayo-Polynesian,Oceanic,,adz,False,False,PG,Holzknecht-1973 Holzknecht-1986,genus-oceanic,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,5.0,,2.0,1.0,4.0,19.0,6.0,,15.0,,,9.0,4.0,4.0,7.0,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,6.0,,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,,6.0,2.0,,4.0,4.0,4.0,,,
aea,Aleut (Eastern),North America,54.75,-164.0,aleu1260,ale,Eskimo-Aleut,,Aleut,,ale,False,False,US,Bergsland-1956 Bergsland-1959 Bergsland-1994 Cho-et-al-1997 Golovko-2001 Jacobson-1944 Menovshchikov-1968 Rozelle-1997,genus-aleut,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
